case_no,date_opened,subtype,date_closed,assigned_to,site_address,parcel_no,owner,resident,status,violation_description
RENT1706-015,2017-06-08,VIOLATIONS,2017-07-03,MARY EMRICK,7 ALDER ROAD,020695501851000,,,CLOSED,UNTAGGED VEHICLES (2)
RENT1706-014,2017-06-08,VIOLATIONS,2017-10-13,ADAM KNIGHT,100 CHESAPEAKE AVE B&B,020600004351840,,,CLOSED,Rental Inspection
RENT1706-003,2017-06-01,VIOLATIONS,2017-06-13,JEANNETTE ROEDER,1611 VIRGINIA ST,020655190023803,,,CLOSED,"SMOKE ALARMS, BEDROOMS"
RENT1706-012,2017-06-06,VIOLATIONS,2017-08-23,MARY EMRICK,1962 FOREST DR,020678909178400,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1706-004,2017-06-05,VIOLATIONS,2017-08-16,MARY EMRICK,204-G VICTOR PKWY,020621290018227,,,CLOSED,SMOKE DETECTORS & CO DETECTOR
RENT1706-010,2017-06-06,VIOLATIONS,2018-05-24,ADAM KNIGHT,110-114 PRINCE GEORGE STREET (,020600005528505,,,CLOSED,RENTAL INSPECTION
RENT1706-009,2017-06-06,VIOLATIONS,2017-08-02,ADAM KNIGHT,134 PRINCE GEORGE STREET (B&B),020600008389100,,,CLOSED,RENTAL INSPECTION
RENT1706-008,2017-06-06,,2017-09-08,ADAM KNIGHT,85 EAST STREET (B&B),020600007014000,,,CLOSED,RENTAL INSPECTION
RENT1706-007,2017-06-06,VIOLATIONS,2017-06-21,MARY EMRICK,290 HILLTOP LN L,020680304343925,,,CLOSED,MASTER BATHROOM SHOWER STALL
RENT1706-006,2017-06-05,VIOLATIONS,2017-07-12,ADAM KNIGHT,316 BURNSIDE ST 401,020660900774453,,,CLOSED,Rental Inspection
RENT1705-053,2017-05-22,VIOLATIONS,2017-07-19,JEANNETTE ROEDER,217-E VICTOR PAKWAY,020621290018157,,,CLOSED,KITCHEN GFCI
RENT1706-013,2017-06-08,VIOLATIONS,2019-12-13,MARY EMRICK,11 VICTOR PKWY,020695508835282,,,CLOSED,OVERGROWTH & TRASH & DEBRIS & POOL
RENT1705-028,2017-05-10,VIOLATIONS,2017-11-02,MARY EMRICK,1204-A GEMINI DR,020680305066705,,,CLOSED,"ILLEGAL BATHROOM, BEDROOMS, PROPANE TANKS ETC"
RENT1705-055,2017-05-24,VIOLATIONS,2017-07-11,MARY EMRICK,1186 TYLER AVENUE,020600009119600,,,CLOSED,FLUE PIPE FOR HOT WATER HEATER
RENT1705-035,2017-05-12,VIOLATIONS,2017-06-12,MARY EMRICK,1209 BARBUD LN**,020600004807500,,,CLOSED,UNTAGGED CAR
RENT1705-034,2017-05-12,VIOLATIONS,2017-07-03,MARY EMRICK,"7 SILVERWOOD CIRCLE, # 6",020621290018306,,,CLOSED,HALL BATH OUTLET/CO DETECTOR
RENT1705-033,2017-05-12,VIOLATIONS,2017-06-09,MARY EMRICK,984 BREAKWATER DR,020654690054172,,,CLOSED,OVERCROWDING/KEY LOCKS ON BEDROOM DOOR
RENT1705-032,2017-05-10,VIOLATIONS,2017-05-19,MARY EMRICK,2 SILOPANNA CT,020682990029218,,,CLOSED,OVERGROWTH
RENT1705-031,2017-05-10,VIOLATIONS,2017-06-05,MARY EMRICK,31 SILOPANNA RD,020682904064170,,,CLOSED,"ILLEGAL BEDROOM IN BASEMENT, DRYER VENT PIPE, KEY LOCKS"
RENT1705-037,2017-05-15,VIOLATIONS,2017-06-23,ADAM KNIGHT,151 PRINCE GEORGE STREET,020600005903725,,,CLOSED,Rental Inspecption
RENT1705-029,2017-05-10,VIOLATIONS,2018-04-09,MARY EMRICK,140 GEORGETOWN RD 10,020621290018286,,,CLOSED,ILLEGAL 4TH BEDROOM/SMOKE DETECTORS
RENT1705-038,2017-05-16,VIOLATIONS,2017-06-13,MARY EMRICK,4 CYPRESS RD**,020695502016560,,,CLOSED,OVERCROWDING & REMOVE STOVE/HOOD SYSTEM
RENT1705-027,2017-05-10,VIOLATIONS,2017-07-07,MARY EMRICK,1170 AUGUST DRIVE,020604090212629,,,CLOSED,SMOKE DETECTORS & ILLEGAL BEDROOM IN BASEMENT
RENT1705-026,2017-05-09,VIOLATIONS,2017-11-14,MARY EMRICK,217 VICTOR PKWY A,020621290018149,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-025,2017-05-09,VIOLATIONS,2017-11-14,MARY EMRICK,204 VICTOR PKWY A,020621290018217,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-024,2017-05-09,VIOLATIONS,2017-06-27,MARY EMRICK,142 GEORGETOWN RD 1,020621290018257,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-023,2017-05-09,VIOLATIONS,2017-06-30,MARY EMRICK,16 SILVERWOOD CIR 9,020621290018461,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1710-029,2017-10-24,VIOLATIONS,2017-12-05,MARY EMRICK,331 FIRST ST,020600008598375,,,CLOSED,CRM - Unlicensed Rental
RENT1705-030,2017-05-10,VIOLATIONS,2017-10-13,ADAM KNIGHT,222 ADMIRAL DR,020600003057000,,,CLOSED,Rental Inspection
RENT1705-045,2017-05-18,VIOLATIONS,2017-07-14,MARY EMRICK,208-G VICTOR PKWY,020621290018239,,,CLOSED,DEADBOLT ON BEDROOM DOOR/BATHROOM MOLD
RENT1706-022,2017-06-08,VIOLATIONS,2017-06-27,ADAM KNIGHT,112 SOUTH ST,020600001969800,,,CLOSED,Rental Inspection
RENT1705-052,2017-05-22,VIOLATIONS,2017-06-22,MARY EMRICK,10-C SANDSTONE CT,020601890082192,,,CLOSED,MULTIPLE VIOLATIONS
RENT1705-051,2017-05-22,VIOLATIONS,2017-06-21,MARY EMRICK,1009 KENSINGTON WAY,020698190009741,,,CLOSED,ILLEGAL BEDS IN BASEMENT AREA
RENT1705-050,2017-05-19,VIOLATIONS,2018-07-02,MARY EMRICK,319 CHESTER AVE,020600008335704,,,CLOSED,ILLEGAL RENTAL UNITS
RENT1705-049,2017-05-18,VIOLATIONS,2017-07-27,JEANNETTE ROEDER,3 PETERS WAY,020628790078632,,,CLOSED,"SMOKE DETECTORS, BEDROOMS"
RENT1705-048,2017-05-18,VIOLATIONS,2017-08-24,MARY EMRICK,208-B VICTOR PKWY**,020621290018234,,,CLOSED,MULTIPLE VIOLATIONS
RENT1705-036,2017-05-15,VIOLATIONS,2017-07-10,MARY EMRICK,5 EDGEWOOD GREEN COURT,020619190051904,,,CLOSED,ELECTRICAL OUTLET IN 1ST FLOOR BATHROOM
RENT1705-046,2017-05-18,VIOLATIONS,2017-06-12,MARY EMRICK,213-D VICTOR PKWY**,020621290018168,,,CLOSED,HALLWAY BATHROOM - GFCI
RENT1705-054,2017-05-22,VIOLATIONS,2017-05-31,MARY EMRICK,5 PARK PL 223 & 323,020666790226928,,,CLOSED,ILLEGAL RENTAL UNITS
RENT1705-044,2017-05-18,VIOLATIONS,2017-06-15,MARY EMRICK,1037 CEDAR RIDGE CT,020610503491500,,,CLOSED,"SMOKE DETECTOR NOT SOUNDING, KEY LOCKS ON BEDROOMS"
RENT1705-043,2017-05-17,VIOLATIONS,2017-06-05,JEANNETTE ROEDER,1108 HOOVER ST,020600090008815,,,CLOSED,"KITCHEN, GFCI"
RENT1705-042,2017-05-17,VIOLATIONS,2017-06-01,JEANNETTE ROEDER,316 BURNSIDE ST 208,020660905839777,,,CLOSED,"KITCHEN, GFCI"
RENT1705-041,2017-05-17,VIOLATIONS,2017-07-19,MARY EMRICK,ABNEY LN & PLEASANT ST,020661390234840,,,CLOSED,DUMPSTER AREA OVERFLOWING
RENT1705-040,2017-05-16,VIOLATIONS,2017-06-05,MARY EMRICK,1 PRESIDENT POINT DR B2,020669090000800,,,CLOSED,ILLEGAL RENTAL
RENT1705-039,2017-05-16,VIOLATIONS,2017-07-27,MARY EMRICK,1024 TIMBER CREEK DR,020682590017294,,,CLOSED,SMOKE DETECTORS
RENT1705-047,2017-05-18,VIOLATIONS,2017-06-15,MARY EMRICK,1065 CEDAR RIDGE COURT**,020610501272807,,,CLOSED,MASTER BATHROOM CEILING
RENT1707-005,2017-07-06,VIOLATIONS,2017-07-24,MARY EMRICK,10-A SANDSTONE COURT,020601890082190,,,CLOSED,EXTERMINATE - ROACHES
RENT1706-055,2017-06-28,,2017-11-02,MARY EMRICK,290-H HILLTOP LN,020680304343923,,,CLOSED,SMOKE DETECTORS
RENT1707-012,2017-07-13,VIOLATIONS,2017-09-08,MARY EMRICK,6 BELVEDERE CT,020611890040220,,,CLOSED,"OVERCROWDING, CABINETS AND EXTERIOR WOOD"
RENT1707-011,2017-07-12,VIOLATIONS,2017-07-31,MARY EMRICK,16 EDGEWOOD GREEN CT,020619190051914,,,CLOSED,ILLEGAL RENTAL
RENT1707-010,2017-07-11,VIOLATIONS,2017-08-18,MARY EMRICK,1901 WEST STREET,020600004123000,,,CLOSED,MULTIPLE VIOLATIONS
RENT1707-009,2017-07-10,VIOLATIONS,2017-08-16,MARY EMRICK,"16 SILVERWOOD CIRCLE, # 12",020621290018464,,,CLOSED,OVERCROWDING & SMOKE DETECTORS/CO
RENT1707-008,2017-07-10,VIOLATIONS,2017-12-04,MARY EMRICK,1123 LAKE HERON DR 1B,020653390223983,,,CLOSED,EXCESSIVE BOXES AND STORAGE
RENT1707-014,2017-07-13,VIOLATIONS,2017-12-18,MARY EMRICK,797 FAIRVIEW AVE D,020680590026939,,,CLOSED,ILLEGAL RENTAL
RENT1707-006,2017-07-06,VIOLATIONS,2017-08-02,ADAM KNIGHT,11 1/2 COLLEGE AVE,020600001133308,,,CLOSED,Rental Inspection
RENT1707-015,2017-07-13,VIOLATIONS,2017-07-24,MARY EMRICK,756 FAIRVIEW AVE D,020680590026911,,"WALSH JR TRUSTEE FRA,",CLOSED,ILLEGAL RENTAL
RENT1707-004,2017-07-06,VIOLATIONS,2017-07-21,MARY EMRICK,1200-K GEMINI DR,020680304343945,,,CLOSED,SMOKE DETECTORS
RENT1707-003,2017-07-03,VIOLATIONS,2017-07-11,MARY EMRICK,"1 SILVERWOOD CIRCLE, # 1",020621290018245,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT1707-002,2017-07-03,VIOLATIONS,2017-08-15,MARY EMRICK,5 GEORGETOWN COURT,020621290018125,,,CLOSED,KITCHEN STOVE TOP CRACKED & HANDRAIL
RENT1707-001,2017-07-03,VIOLATIONS,2017-07-25,MARY EMRICK,206 VICTOR PKWY B,020621290018214,,,CLOSED,HALLWAY SMOKE DETECTOR
RENT1706-057,2017-06-29,VIOLATIONS,2017-09-05,MARY EMRICK,HILLTOP LN,020660890226483,,,CLOSED,STAIRCASE - TRIPPING HAZARD
RENT1706-020,2017-06-08,VIOLATIONS,2017-06-22,JEANNETTE ROEDER,208 CENTER STREET,020600090222043,,,CLOSED,"LIGHT FIXTURES, GFCI, OVERCROWDING"
RENT1707-007,2017-07-06,VIOLATIONS,2017-08-02,ADAM KNIGHT,101 MARKET ST,020600004436600,,,CLOSED,Rental Inspection
RENT1707-022,2017-07-20,VIOLATIONS,2017-09-05,MARY EMRICK,35 BUNCHE ST,020600003868200,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1705-021,2017-05-09,VIOLATIONS,2019-02-12,MARY EMRICK,7 SILVERWOOD CIR 11,020621290018324,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1707-029,2017-07-26,VIOLATIONS,2017-08-28,MARY EMRICK,22 SILVERWOOD CIR 1,020621290018489,,,CLOSED,OVERCROWDING
RENT1707-028,2017-07-25,VIOLATIONS,2017-08-18,MARY EMRICK,"142 GEORGETOWN ROAD, # 7",020621290018275,,,CLOSED,SMOKE DETECTORS
RENT1707-027,2017-07-24,VIOLATIONS,2018-05-04,ADAM KNIGHT,10 COLLEGE AVE**,020600008674400,,,CLOSED,Rental Inspection
RENT1707-026,2017-07-24,VIOLATIONS,2017-08-23,ADAM KNIGHT,25 EAST ST,020600001160600,,,CLOSED,RENTAL INSPECTION
RENT1707-025,2017-07-24,VIOLATIONS,2017-09-25,MARY EMRICK,1213 MARDA LN,020600001519420,,,CLOSED,MULTIPLE VIOLATIONS
RENT1707-013,2017-07-13,VIOLATIONS,2017-09-28,MARY EMRICK,1210 PRESIDENT ST,020611208984300,,,CLOSED,ILLEGAL RENTAL
RENT1707-023,2017-07-21,VIOLATIONS,2017-08-23,,6 DOCK ST,020600003321968,,,CLOSED,Rental Inspection
RENT1706-054,2017-06-28,VIOLATIONS,2017-07-06,MARY EMRICK,13 BELVEDERE CT,020611890040229,,,CLOSED,GFCI IN POWDER ROOM & SMOKE DETECTORS
RENT1707-021,2017-07-19,VIOLATIONS,2017-08-23,MARY EMRICK,4 ROCKWELL CT,020666190031636,,,CLOSED,SMOKE DETECTORS & VENT FAN
RENT1707-020,2017-07-19,VIOLATIONS,2017-08-23,MARY EMRICK,1190 TYLER AVE,020600006328000,,,CLOSED,SMOKE DETECTORS
RENT1707-019,2017-07-17,VIOLATIONS,2017-10-05,MARY EMRICK,10 WOODWARD COURT,020666190010132,,,CLOSED,SMOKE DETECTORS
RENT1707-018,2017-07-14,VIOLATIONS,2017-10-13,ADAM KNIGHT,10 JOHNSON PL,020600090219894,,,CLOSED,Rental Inspection
RENT1707-017,2017-07-14,VIOLATIONS,2017-07-21,MARY EMRICK,226 GIBSON RD,020601005264000,,,CLOSED,ILLEGAL RENTAL
RENT1707-016,2017-07-13,VIOLATIONS,2017-09-08,ADAM KNIGHT,12 SHAW ST,020600590220318,,,CLOSED,Rental Inspection
RENT1707-024,2017-07-21,VIOLATIONS,2017-09-27,ADAM KNIGHT,126 DOCK ST,,,,CLOSED,Rental Inspection
RENT1706-028,2017-06-14,VIOLATIONS,2017-07-14,MARY EMRICK,211 VICTOR PKWY A,020621290018161,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1706-056,2017-06-29,VIOLATIONS,2017-08-02,ADAM KNIGHT,51 PINKNEY ST,020600000866800,,,CLOSED,Rental INspection
RENT1706-035,2017-06-15,VIOLATIONS,2017-08-30,MARY EMRICK,13 SILVERWOOD CIR 1,020621290018339,,,CLOSED,"SMOKE & CO DETECTORS, GFCI'S"
RENT1706-034,2017-06-15,VIOLATIONS,2017-07-18,MARY EMRICK,280-L HILLTOP LN,020680305697000,,,CLOSED,MULTIPLE VIOLATIONS
RENT1706-033,2017-06-15,VIOLATIONS,2017-07-03,MARY EMRICK,15 SILVERWOOD CIR 10,020621290018364,,,CLOSED,SMOKE DETECTORS & CO DETECTOR
RENT1706-032,2017-06-14,VIOLATIONS,2017-07-10,JEANNETTE ROEDER,613 WYE ISLAND COURT,020661090087211,,,CLOSED,"MEANS OF EGRESS, VENT COVER"
RENT1706-031,2017-06-14,VIOLATIONS,2017-07-18,JEANNETTE ROEDER,1012 PARK AVE,020600008314902,,,CLOSED,"THROUGHOUT, FLAKING, PEELING PAINT"
RENT1706-037,2017-06-15,VIOLATIONS,2017-07-19,MARY EMRICK,701-713 NEWTOWNE DR,020600007136302,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE/LEAD CERTIFICATION
RENT1706-029,2017-06-14,VIOLATIONS,2017-07-11,JEANNETTE ROEDER,215 DEWEY DR,020601008229600,,,CLOSED,SMOKE DETECTORS
RENT1706-038,2017-06-15,VIOLATIONS,2017-12-12,MARY EMRICK,WATERGATE VILLAGE,,,,CLOSED,"(7/24/2017 10:44 AM DT)
ADDITIONAL CITATION # 2Z41101020  3Z41101021"
RENT1706-038,2017-06-15,VIOLATIONS,2017-12-12,MARY EMRICK,WATERGATE VILLAGE,,,,CLOSED,"(7/24/2017 10:44 AM DT)
ADDITIONAL CITATION # 2Z41101020  3Z41101021"
RENT1706-027,2017-06-14,VIOLATIONS,2017-06-28,MARY EMRICK,1200 GEMINI DR H,020680305876950,,,CLOSED,ILLEGAL RENTAL UNIT
RENT1706-026,2017-06-12,VIOLATIONS,2018-06-13,MARY EMRICK,89 SUMMERFIELD DR,020681505191900,,,CLOSED,MULTIPLE VIOLATIONS
RENT1706-025,2017-06-12,VIOLATIONS,2019-11-12,MARY EMRICK,"5 SILVERWOOD CIRCLE**, # 5",020621290018297,,,CLOSED,SMOKE DETECTORS/CO & GFCI'S
RENT1706-024,2017-06-09,VIOLATIONS,2017-06-19,MARY EMRICK,1012 TYLER AVE,020605702836215,,,CLOSED,OVERGROWTH
RENT1706-023,2017-06-09,VIOLATIONS,2017-07-17,MARY EMRICK,1253 YOUNGS FARM RD,020681790035913,,,CLOSED,MULTIPLE VIOLATIONS
RENT1707-031,2017-07-26,VIOLATIONS,2017-08-15,JEANNETTE ROEDER,1131 BAY RIDGE AVE,020600003805205,,,CLOSED,GFCI - HOT/NEU REVERSE
RENT1706-030,2017-06-14,VIOLATIONS,2017-06-30,JEANNETTE ROEDER,1016 BAY RIDGE AVENUE,020600004575200,,,CLOSED,"DRYER VENT, OVERCROWDING"
RENT1706-045,2017-06-20,VIOLATIONS,2017-07-17,MARY EMRICK,16 SILVERWOOD CIR 2,020621290018453,,,CLOSED,SMOKE DETECTORS
RENT1706-053,2017-06-28,VIOLATIONS,2017-07-27,MARY EMRICK,1 ROSECREST DRIVE**,020669507665005,,,CLOSED,MULTIPLE VIOLATIONS
RENT1706-052,2017-06-28,VIOLATIONS,2017-07-19,ADAM KNIGHT,7 STEELE AVE,020600000039650,,,CLOSED,Rental Inspection
RENT1706-051,2017-06-28,VIOLATIONS,2017-07-19,ADAM KNIGHT,156 CONDUIT STREET**,020600005255700,,,CLOSED,Rental Inspection
RENT1706-050,2017-06-28,VIOLATIONS,2017-08-02,ADAM KNIGHT,170 DUKE OF GLOUCESTER ST,,,,CLOSED,B&B Rental Inspection
RENT1706-049,2017-06-28,VIOLATIONS,2017-08-25,ADAM KNIGHT,629 BYWATER RD**,020628704645079,,,CLOSED,Rental Inspection
RENT1706-048,2017-06-27,VIOLATIONS,2017-09-06,JEANNETTE ROEDER,146 MARKET STREET,,,,CLOSED,SMOKE DETECTORS
RENT1706-036,2017-06-15,VIOLATIONS,2017-08-30,MARY EMRICK,22 SILVERWOOD CIR 5,020621290018493,,,CLOSED,SMOKE & CO DETECTOR
RENT1706-046,2017-06-23,VIOLATIONS,2017-07-20,ADAM KNIGHT,"66 FRANKLIN STREET, # 105",020600590227222,,,CLOSED,Rental Inspection
RENT1706-021,2017-06-08,VIOLATIONS,2017-06-22,JEANNETTE ROEDER,202 CENTER STREET,020600090222040,,,CLOSED,"UNTAGGED CAR, VOIDS IN WALLS"
RENT1706-044,2017-06-20,VIOLATIONS,2017-07-12,JEANNETTE ROEDER,319 ATWATER DRIVE,020602590089907,,,CLOSED,LOCKED DOORS
RENT1706-043,2017-06-19,VIOLATIONS,2017-07-11,MARY EMRICK,2249 BAY RIDGE AVE,020600090037929,,,CLOSED,SMOKE DETECTORS & MULTIPLE VIOLATIONS
RENT1706-042,2017-06-19,VIOLATIONS,2017-11-06,MARY EMRICK,1230-E GEMINI DR,020680304343975,,,CLOSED,"SMOKE DETECTORS, OUTLET"
RENT1706-041,2017-06-19,VIOLATIONS,2017-07-06,JEANNETTE ROEDER,212 CLAY ST,020600004775400,,,CLOSED,"GFCI, OVERCROWDING"
RENT1706-040,2017-06-19,VIOLATIONS,2017-07-31,MARY EMRICK,176 ACTON RD,020682908111790,,,CLOSED,BASEMENT ROOFING
RENT1706-039,2017-06-16,VIOLATIONS,2017-07-31,MARY EMRICK,956 FOREST HILLS AVE,020600090054582,,,CLOSED,SMOKE DETECTORS AND MULTIPLE VIOLATIONS
RENT1706-047,2017-06-23,VIOLATIONS,2017-08-25,ADAM KNIGHT,43 WATER ST,020610690029942,,,CLOSED,Rental Inspection
RENT2002-030,2020-02-24,VIOLATIONS,2020-03-31,MARY EMRICK,77 CLAY ST,020654903864221,,,CLOSED,FAILURE TO RENEW RENTAL LICENSE
RENT2002-037,2020-02-26,VIOLATIONS,,MARY EMRICK,1305 TYLER AVE,,,,,MULTIPLE VIOLATIONS
RENT2002-037,2020-02-26,VIOLATIONS,,MARY EMRICK,1305 TYLER AVE,,,,,MULTIPLE VIOLATIONS
RENT2002-036,2020-02-26,VIOLATIONS,2020-04-23,ADAM KNIGHT,215 GARDEN GATE LN,020669501693300,,,CLOSED,Rental Inspection
RENT2002-035,2020-02-26,VIOLATIONS,2020-05-13,ADAM KNIGHT,1198 TYLER AVE,020600001580680,,,CLOSED,Rental Inspection
RENT2002-034,2020-02-25,VIOLATIONS,,MARY EMRICK,ADMIRAL FARRAGUT APARTMENTS,,,,,MULTIPLE VIOLATIONS
RENT2002-034,2020-02-25,VIOLATIONS,,MARY EMRICK,ADMIRAL FARRAGUT APARTMENTS,,,,,MULTIPLE VIOLATIONS
RENT2002-033,2020-02-24,VIOLATIONS,2020-09-24,MARY EMRICK,930-940 BAY FOREST COURT,020600090027410,,,CLOSED,MULTIPLE VIOLATIONS
RENT2003-014,2020-03-04,VIOLATIONS,2020-03-31,ADAM KNIGHT,11 SILVERWOOD CIR** 3,020621290018333,,,CLOSED,Rental Inspection
RENT2002-031,2020-02-24,FAILURE TO RENEW,2020-03-11,MARY EMRICK,671 GENESSEE ST,020698690035270,,,CLOSED,FAILURE TO RENEW
RENT2002-040,2020-02-26,VIOLATIONS,,MARY EMRICK,13 MARCS CT B,,,,,MULTIPLE VIOLATIONS
RENT2002-040,2020-02-26,VIOLATIONS,,MARY EMRICK,13 MARCS CT B,,,,,MULTIPLE VIOLATIONS
RENT2002-028,2020-02-14,VIOLATIONS,2020-03-11,MARY EMRICK,309 CHESAPEAKE AVE,020600005511510,,,CLOSED,CARBON MONOXIDE DETECTORS
RENT2002-027,2020-02-13,VIOLATIONS,,MARY EMRICK,ANNAPOLIS GARDENS,,,,,MULTIPLE VIOLATIONS
RENT2002-027,2020-02-13,VIOLATIONS,,MARY EMRICK,ANNAPOLIS GARDENS,,,,,MULTIPLE VIOLATIONS
RENT2002-026,2020-02-12,VIOLATIONS,,JENNIFER FERRACANE,1981 DOMINOE RD,,,,,
RENT2001-027,2020-01-27,FAILURE TO OBTAIN,,JOHN MENASSA,1604 MCGUCKIAN ST,,,,,Unlicensed rental @ 1604 McGuckian St
RENT2001-027,2020-01-27,FAILURE TO OBTAIN,,JOHN MENASSA,1604 MCGUCKIAN ST,,,,,Unlicensed rental @ 1604 McGuckian St
RENT2003-012,2020-03-04,VIOLATIONS,,ADAM KNIGHT,5 MILKSHAKE LN,,,,,Rental Inspection
RENT2003-012,2020-03-04,VIOLATIONS,,ADAM KNIGHT,5 MILKSHAKE LN,,,,,Rental Inspection
RENT2003-010,2020-03-04,VIOLATIONS,,MARY EMRICK,929 FOREST HILLS AVE,,,,,MULTIPLE VIOLATIONS
RENT2003-010,2020-03-04,VIOLATIONS,,MARY EMRICK,929 FOREST HILLS AVE,,,,,MULTIPLE VIOLATIONS
RENT2002-038,2020-02-26,VIOLATIONS,,MARY EMRICK,1305 TYLER AVE,,,,,POOR HOUSEKEEPING
RENT2002-038,2020-02-26,VIOLATIONS,,MARY EMRICK,1305 TYLER AVE,,,,,POOR HOUSEKEEPING
RENT2002-039,2020-02-26,VIOLATIONS,,MARY EMRICK,8 BENS DR A,,,,,MULTIPLE VIOLATIONS
RENT2002-039,2020-02-26,VIOLATIONS,,MARY EMRICK,8 BENS DR A,,,,,MULTIPLE VIOLATIONS
RENT2003-001,2020-03-02,VIOLATIONS,,JENNIFER FERRACANE,3 JULIANA CIRCLE  W,,,,,
RENT2002-041,2020-02-26,VIOLATIONS,,MARY EMRICK,21 BENS DR D,,,,,MULTIPLE VIOLATIONS
RENT2002-041,2020-02-26,VIOLATIONS,,MARY EMRICK,21 BENS DR D,,,,,MULTIPLE VIOLATIONS
RENT2002-021,2020-02-11,VIOLATIONS,2020-02-18,MARY EMRICK,1409 TYLER AVE,020600000142124,,,CLOSED,CHECK FOR POSSIBLE MOLD IN THIS UNIT
RENT2003-007,2020-03-03,VIOLATIONS,,JEANNETTE ROEDER,219 CROLL DR,,,,,"POSSIBLE MICROBIAL, CRACK IN WALL"
RENT2003-007,2020-03-03,VIOLATIONS,,JEANNETTE ROEDER,219 CROLL DR,,,,,"POSSIBLE MICROBIAL, CRACK IN WALL"
RENT2001-034,2020-01-30,VIOLATIONS,2020-01-31,JENNIFER FERRACANE,202 GREAT BAY AVE,020602590089962,,,CLOSED,LOCKEDE DOOR
RENT2002-002,2020-02-03,VIOLATIONS,2020-07-16,MARY EMRICK,544 SECOND ST**,020600003976102,,,CLOSED,EXTERiOR WINDOWs/KITCHEN CEILiNG
RENT2002-001,2020-02-03,VIOLATIONS,2020-03-13,ADAM KNIGHT,1240-P GEMINI DR,020680305695975,,,CLOSED,Rental Inspection
RENT2001-038,2020-01-30,VIOLATIONS,2020-02-11,MARY EMRICK,129 SEVERN AVE,020600007903850,,,CLOSED,CARBON MONOXIDE DETECTOR
RENT2001-037,2020-01-30,VIOLATIONS,2020-02-27,MARY EMRICK,917 SPA RD**,020600003861500,,,CLOSED,KITCHEN/FOYER FLOORING
RENT2001-035,2020-01-30,VIOLATIONS,2020-02-27,MARY EMRICK,911 SPA RD**,020600003861500,,,CLOSED,KITCHEN FLOOR AREA
RENT2002-006,2020-02-05,VIOLATIONS,2020-03-02,JENNIFER FERRACANE,301 N. GLEN AVENUE,020600007259000,,,CLOSED,REMOVE KEY LOCKS
RENT2001-033,2020-01-28,VIOLATIONS,2020-02-25,MARY EMRICK,920 MADISON ST**,020600090001228,,,CLOSED,MULTIPLE VIOLATIONS IN FIRST FLOOR UNIT
RENT2001-032,2020-01-28,VIOLATIONS,,JEANNETTE ROEDER,55 PINKNEY ST**,,,,,SMOKE DETECTORS
RENT2001-032,2020-01-28,VIOLATIONS,,JEANNETTE ROEDER,55 PINKNEY ST**,,,,,SMOKE DETECTORS
RENT2001-031,2020-01-28,VIOLATIONS,2020-06-22,MARY EMRICK,706 GLENWOOD ST,020619090035366,,,CLOSED,EMERGENCY REPAIR OF GAS LINE ON DRYER
RENT2001-030,2020-01-28,VIOLATIONS,2020-03-10,ADAM KNIGHT,128 MERRYMAN COURT,020636090028504,,,CLOSED,Rental Inspection
RENT2001-029,2020-01-28,VIOLATIONS,2020-07-16,ADAM KNIGHT,4 BEACON CT,020640590062788,,,CLOSED,Rental Inspection
RENT2004-037,2020-04-28,FAILURE TO OBTAIN,2020-05-11,MARY EMRICK,317 CHESAPEAKE AVE,020600090021927,,,CLOSED,FAILURE TO OBTAIN RENTAL LICENSE
RENT2001-036,2020-01-30,VIOLATIONS,2020-02-27,MARY EMRICK,913 SPA RD**,020600003861500,,,CLOSED,EXTERIOR OVERHANG
RENT2002-013,2020-02-06,VIOLATIONS,2020-03-10,ADAM KNIGHT,205-B VICTOR PKWY**,020621290018186,,,CLOSED,Rental Inspection
RENT2003-015,2020-03-05,VIOLATIONS,2020-06-08,ADAM KNIGHT,1154 AUGUST DR,020604090212635,,,CLOSED,Rental INspection
RENT2002-020,2020-02-11,VIOLATIONS,2020-03-11,MARY EMRICK,312 SEVERN AVE W400,020682201454350,,,CLOSED,TEN YEAR SMOKE DETECTOR ON FIRST LEVEL
RENT2002-019,2020-02-10,VIOLATIONS,2020-05-05,MARY EMRICK,1411 TYLER AVE,020600000142124,,,CLOSED,MOLD ISSUE THROUGHOUT HOUSE
RENT2002-018,2020-02-10,VIOLATIONS,,JEANNETTE ROEDER,2/8 MARYLAND AVE**,,,,,MULTIPLE VIOLATIONS
RENT2002-018,2020-02-10,VIOLATIONS,,JEANNETTE ROEDER,2/8 MARYLAND AVE**,,,,,MULTIPLE VIOLATIONS
RENT2002-017,2020-02-07,VIOLATIONS,2020-02-25,MARY EMRICK,148 DUKE OF GLOUCESTER ST**,020600002741403,,,CLOSED,RATS UNDER DECKING IN REAR OF PROPERTY
